,start time,lock time,close time,epoch,Locked price,Close price,Change,Total BNB,Up BNB,Down BNB,Win/Lose,Summary,Moving Average,Oscillator
0,1653601264,1653601564,1653601864,3371,311.3,310.9,-0.4,15.3138,7.7175,7.7575,0,,,
1,1653601570,1653601870,1653602170,3372,310.9,311.2,0.3,15.7211,7.8211,8.0654,1,SELL,STRONG SELL,NEUTRAL
2,1653601876,1653602176,1653602476,3373,311.2,311.1,-0.1,15.2673,7.6794,7.7486,0,SELL,SELL,NEUTRAL
3,1653602182,1653602482,1653602782,3374,311.1,313.1,2.0,15.0658,7.6866,7.5378,1,SELL,SELL,NEUTRAL
4,1653602488,1653602788,1653603088,3375,313.1,313.3,0.2,15.445,7.8458,7.7618,1,BUY,STRONG BUY,NEUTRAL
5,1653602794,1653603094,1653603394,3376,313.3,313.1,-0.2,15.3839,7.8221,7.7238,0,BUY,STRONG BUY,SELL
6,1653603100,1653603400,1653603700,3377,313.1,313.0,-0.1,15.1851,7.6725,7.6725,0,BUY,STRONG BUY,NEUTRAL
7,1653603409,1653603709,1653604009,3378,313.0,312.8,-0.2,15.1046,7.6368,7.6268,0,BUY,STRONG BUY,NEUTRAL
8,1653603714,1653604014,1653604314,3379,312.8,313.0,0.2,15.5702,7.9422,7.7919,1,BUY,STRONG BUY,NEUTRAL
9,1653604020,1653604320,1653604620,3380,313.0,311.7,-1.3,15.4677,7.8152,7.8152,0,BUY,STRONG BUY,BUY
10,1653604329,1653604629,1653604929,3381,311.7,311.2,-0.5,15.4435,7.7137,7.8924,0,SELL,STRONG SELL,SELL
11,1653604632,1653604932,1653605232,3382,311.2,311.5,0.3,15.1852,7.6725,7.6725,1,SELL,STRONG SELL,NEUTRAL
12,1653604938,1653605238,1653605538,3383,311.5,310.5,-1.0,15.5774,7.8391,7.9022,0,SELL,STRONG SELL,NEUTRAL
13,1653605244,1653605544,1653605844,3384,310.5,309.9,-0.6,15.9016,7.6937,8.3753,0,SELL,STRONG SELL,NEUTRAL
14,1653605568,1653605868,1653606168,3385,309.9,310.4,0.5,15.2205,7.6824,7.6983,1,STRONG SELL,STRONG SELL,SELL
15,1653605874,1653606174,1653606474,3386,310.4,311.1,0.7,15.6008,7.8614,7.9036,1,SELL,STRONG SELL,SELL
16,1653606180,1653606480,1653606780,3387,311.1,309.0,-2.1,15.1801,7.5829,7.7569,0,SELL,STRONG SELL,NEUTRAL
17,1653606486,1653606786,1653607086,3388,309.0,309.9,0.9,15.785,7.6375,8.3137,1,STRONG SELL,STRONG SELL,SELL
18,1653606793,1653607093,1653607393,3389,309.9,309.0,-0.9,15.5204,7.6632,8.0205,0,SELL,STRONG SELL,NEUTRAL
19,1653607102,1653607402,1653607702,3390,309.0,309.3,0.3,16.2075,8.561,7.8171,1,SELL,STRONG SELL,NEUTRAL
20,1653607410,1653607710,1653608010,3391,309.3,309.5,0.2,15.0296,7.5761,7.6117,1,SELL,STRONG SELL,BUY
21,1653607718,1653608018,1653608318,3392,309.5,309.2,-0.3,15.439,7.7881,7.8133,0,SELL,STRONG SELL,NEUTRAL
22,1653608024,1653608324,1653608624,3393,309.2,308.9,-0.3,15.6527,8.213,7.6044,0,SELL,STRONG SELL,NEUTRAL
23,1653608329,1653608629,1653608929,3394,308.9,307.3,-1.6,15.6665,7.8494,7.9821,0,STRONG SELL,STRONG SELL,SELL
24,1653608637,1653608937,1653609237,3395,307.3,306.3,-1.0,15.6704,7.8554,7.98,0,STRONG SELL,STRONG SELL,SELL
25,1653608941,1653609241,1653609541,3396,306.3,303.5,-2.8,15.0598,7.6042,7.6142,0,STRONG SELL,STRONG SELL,SELL
26,1653609247,1653609547,1653609847,3397,303.5,304.6,1.1,15.1279,7.5939,7.6932,1,STRONG SELL,STRONG SELL,SELL
27,1653609553,1653609853,1653610153,3398,304.6,303.1,-1.5,14.9855,7.5516,7.5916,0,SELL,STRONG SELL,BUY
28,1653609859,1653610159,1653610459,3399,303.1,304.6,1.5,15.3468,7.6675,7.8409,1,SELL,STRONG SELL,NEUTRAL
29,1653610162,1653610462,1653610762,3400,304.6,305.6,1.0,15.1552,7.6574,7.6574,1,SELL,STRONG SELL,NEUTRAL
30,1653610468,1653610768,1653611068,3401,305.6,306.1,0.5,15.4637,7.937,7.6895,1,SELL,STRONG SELL,NEUTRAL
31,1653610774,1653611074,1653611374,3402,306.1,306.9,0.8,16.6483,7.7352,9.0884,1,SELL,STRONG SELL,SELL
32,1653611080,1653611380,1653611680,3403,306.9,306.4,-0.5,15.6528,7.8007,8.0169,0,SELL,SELL,NEUTRAL
33,1653611386,1653611686,1653611986,3404,306.4,306.4,0.0,0.0,7.8064,8.2063,0,SELL,STRONG SELL,NEUTRAL
