,start time,lock time,close time,epoch,Locked price,Close price,Change,Total BNB,Up BNB,Down BNB,Win/Lose
0,1651271074,1651271374,1651271674,3331,38580.0,38583.45,3.45,21.6084,10.8542,10.7542,1
1,1651271380,1651271680,1651271980,3332,38583.45,38530.22,-53.23,21.3366,10.6683,10.6683,0
2,1651271686,1651271986,1651272286,3333,38530.22,38541.32,11.1,21.7698,10.9949,10.7749,1
3,1651271993,1651272293,1651272593,3334,38541.32,38596.38,55.06,21.0104,10.4552,10.5552,1
4,1651272299,1651272599,1651272899,3335,38596.38,38615.79,19.41,21.8776,10.7388,11.1388,1
5,1651272605,1651272905,1651273205,3336,38615.79,38584.39,-31.4,20.8482,10.4741,10.3741,0
6,1651272911,1651273211,1651273511,3337,38584.39,38599.35,14.96,20.8068,10.4034,10.4034,1
7,1651273217,1651273517,1651273817,3338,38599.35,38619.4,20.05,21.3864,10.6932,10.6932,1
8,1651273526,1651273826,1651274126,3339,38619.4,38632.68,13.28,21.1082,10.5291,10.5791,1
9,1651273832,1651274132,1651274432,3340,38632.68,38606.66,-26.02,21.6278,10.9239,10.7039,0
10,1651274138,1651274438,1651274738,3341,38606.66,38610.19,3.53,21.2032,10.6113,10.5919,1
11,1651274444,1651274744,1651275044,3342,38610.19,38586.01,-24.18,21.7417,11.0408,10.7008,0
12,1651274750,1651275050,1651275350,3343,38586.01,38640.56,54.55,21.5894,10.9927,10.5967,1
13,1651275056,1651275356,1651275656,3344,38640.56,38608.62,-31.94,21.3466,10.6808,10.6658,0
14,1651275362,1651275662,1651275962,3345,38608.62,38648.97,40.35,21.8961,11.0199,10.8763,1
15,1651275668,1651275968,1651276268,3346,38648.97,38574.17,-74.8,21.1878,10.4595,10.7283,0
16,1651275974,1651276274,1651276574,3347,38574.17,38596.15,21.98,21.259,10.872,10.387,1
17,1651276280,1651276580,1651276880,3348,38596.15,38608.14,11.99,21.5922,10.9461,10.6461,1
18,1651276586,1651276886,1651277186,3349,38608.14,38622.26,14.12,21.0332,10.6016,10.4316,1
19,1651276892,1651277192,1651277492,3350,38622.26,38630.28,8.02,21.345,10.74,10.605,1
20,1651277198,1651277498,1651277798,3351,38630.28,38618.1,-12.18,21.0757,10.3428,10.7328,0
21,1651277504,1651277804,1651278104,3352,38618.1,38707.5,89.4,21.4581,10.8591,10.5991,1
22,1651277813,1651278113,1651278413,3353,38707.5,38704.91,-2.59,21.6056,10.5078,11.0978,0
23,1651278122,1651278422,1651278722,3354,38704.91,38666.52,-38.39,20.8976,10.4612,10.4363,0
24,1651278428,1651278728,1651279028,3355,38666.52,38629.47,-37.05,21.1399,10.5749,10.5649,0
25,1651278734,1651279034,1651279334,3356,38629.47,38572.53,-56.94,21.6939,10.9663,10.7276,0
26,1651279040,1651279340,1651279640,3357,38572.53,38571.37,-1.16,21.1237,10.7118,10.4118,0
27,1651279346,1651279646,1651279946,3358,38571.37,38593.69,22.32,21.5444,10.7722,10.7722,1
28,1651279652,1651279952,1651280252,3359,38593.69,38612.61,18.92,21.0976,10.7438,10.3538,1
29,1651279958,1651280258,1651280558,3360,38612.61,38673.44,60.83,21.0665,10.5332,10.5332,1
30,1651280264,1651280564,1651280864,3361,38673.44,38704.8,31.36,20.8119,10.4135,10.3984,1
31,1651280570,1651280870,1651281170,3362,38704.8,38680.01,-24.79,21.3007,10.7703,10.5303,0
32,1651280876,1651281176,1651281476,3363,38680.01,38662.5,-17.51,21.5271,10.7635,10.7635,0
33,1651281182,1651281482,1651281782,3364,38662.5,38647.07,-15.43,21.0221,10.651,10.371,0
34,1651281488,1651281788,1651282088,3365,38647.07,38685.24,38.17,21.2267,10.6133,10.6133,1
35,1651281797,1651282097,1651282397,3366,38685.24,38749.3,64.06,21.052,10.526,10.526,1
36,1651282103,1651282403,1651282703,3367,38749.3,38692.33,-56.97,21.4013,10.7007,10.7007,0
37,1651282409,1651282709,1651283009,3368,38692.33,38712.15,19.82,21.0512,10.5406,10.5106,1
38,1651282715,1651283015,1651283315,3369,38712.15,38735.51,23.36,20.9051,10.4525,10.4525,1
39,1651283021,1651283321,1651283621,3370,38735.51,38743.9,8.39,21.2325,10.503,10.7295,1
40,1651283327,1651283627,1651283927,3371,38743.9,38702.54,-41.36,21.2238,10.621,10.6027,0
41,1651283633,1651283933,1651284233,3372,38702.54,38753.26,50.72,21.1229,10.5615,10.5615,1
42,1651283939,1651284239,1651284539,3373,38753.26,38767.62,14.36,21.2218,10.5509,10.6709,1
43,1651284245,1651284545,1651284845,3374,38767.62,38731.38,-36.24,21.1853,10.4851,10.7001,0
44,1651284551,1651284851,1651285151,3375,38731.38,38719.62,-11.76,21.4578,10.7289,10.7289,0
45,1651284857,1651285157,1651285457,3376,38719.62,38710.01,-9.61,21.3388,10.7154,10.6233,0
46,1651285163,1651285463,1651285763,3377,38710.01,38707.55,-2.46,20.9128,10.4439,10.4689,0
47,1651285469,1651285769,1651286069,3378,38707.55,38680.56,-26.99,21.2438,10.6219,10.6219,0
48,1651285775,1651286075,1651286375,3379,38680.56,38693.86,13.3,21.5819,10.891,10.691,1
49,1651286081,1651286381,1651286681,3380,38693.86,38685.58,-8.28,21.5533,10.7692,10.7842,0
50,1651286387,1651286687,1651286987,3381,38685.58,38670.0,-15.58,20.7293,10.3647,10.3647,0
51,1651286693,1651286993,1651287293,3382,38670.0,38699.37,29.37,21.2783,10.6391,10.6391,1
52,1651286999,1651287299,1651287599,3383,38699.37,38693.0,-6.37,20.8518,10.4184,10.4334,0
53,1651287307,1651287607,1651287907,3384,38693.0,38665.98,-27.02,20.7414,10.3632,10.3782,0
54,1651287613,1651287913,1651288213,3385,38665.98,38656.17,-9.81,21.5082,10.7616,10.7466,0
55,1651287918,1651288218,1651288518,3386,38656.17,38641.17,-15.0,21.0903,10.5951,10.4951,0
56,1651288224,1651288524,1651288824,3387,38641.17,38630.27,-10.9,21.4024,10.8012,10.6012,0
57,1651288530,1651288830,1651289130,3388,38630.27,38604.83,-25.44,21.2866,10.8433,10.4433,0
58,1651288836,1651289136,1651289436,3389,38604.83,38632.13,27.3,21.6087,11.2619,10.3469,1
59,1651289142,1651289442,1651289742,3390,38632.13,38615.81,-16.32,21.4119,10.806,10.606,0
60,1651289448,1651289748,1651290048,3391,38615.81,38616.85,1.04,21.3991,10.6995,10.6995,1
61,1651289755,1651290055,1651290355,3392,38616.85,38642.25,25.4,21.1983,10.5541,10.6441,1
62,1651290061,1651290361,1651290661,3393,38642.25,38655.83,13.58,20.8395,10.4547,10.3848,1
63,1651290367,1651290667,1651290967,3394,38655.83,38670.61,14.78,20.8957,10.4379,10.4579,1
64,1651290673,1651290973,1651291273,3395,38670.61,38658.51,-12.1,21.3093,10.5796,10.7296,0
65,1651290979,1651291279,1651291579,3396,38658.51,38682.65,24.14,20.7896,10.3948,10.3948,1
66,1651291285,1651291585,1651291885,3397,38682.65,38679.97,-2.68,21.3635,10.6817,10.6817,0
67,1651291591,1651291891,1651292191,3398,38679.97,38658.15,-21.82,20.7654,10.3903,10.3751,0
68,1651291900,1651292200,1651292500,3399,38658.15,38632.49,-25.66,20.8606,10.4303,10.4303,0
69,1651292206,1651292506,1651292806,3400,38632.49,38599.01,-33.48,20.754,10.3866,10.3674,0
70,1651292512,1651292812,1651293112,3401,38599.01,38597.13,-1.88,21.4613,10.7306,10.7306,0
71,1651292822,1651293122,1651293422,3402,38597.13,38520.61,-76.52,21.3858,10.7929,10.5929,0
72,1651293129,1651293429,1651293729,3403,38520.61,38547.74,27.13,21.3954,11.0405,10.3549,1
73,1651293435,1651293735,1651294035,3404,38547.74,38538.69,-9.05,21.1973,10.5986,10.5986,0
74,1651293741,1651294041,1651294341,3405,38538.69,38529.91,-8.78,22.4552,11.5407,10.9145,0
75,1651294046,1651294346,1651294646,3406,38529.91,38535.29,5.38,21.2865,10.6432,10.6432,1
76,1651294352,1651294652,1651294952,3407,38535.29,38537.72,2.43,21.445,10.805,10.64,1
77,1651294658,1651294958,1651295258,3408,38537.72,38575.85,38.13,21.1384,10.7125,10.4259,1
78,1651294964,1651295264,1651295564,3409,38575.85,38592.61,16.76,21.3985,10.6922,10.7064,1
79,1651295270,1651295570,1651295870,3410,38592.61,38557.63,-34.98,20.9771,10.3448,10.6324,0
80,1651295576,1651295876,1651296176,3411,38557.63,38591.67,34.04,22.6422,11.5938,11.0484,1
81,1651295882,1651296182,1651296482,3412,38591.67,38617.69,26.02,21.7617,10.9858,10.7758,1
82,1651296191,1651296491,1651296791,3413,38617.69,38592.72,-24.97,20.7481,10.374,10.374,0
83,1651296497,1651296797,1651297097,3414,38592.72,38610.01,17.29,22.9335,11.433,11.5004,1
84,1651296803,1651297103,1651297403,3415,38610.01,38673.31,63.3,21.2195,10.7122,10.5074,1
85,1651297109,1651297409,1651297709,3416,38673.31,38740.65,67.34,21.7312,10.9906,10.7406,1
86,1651297415,1651297715,1651298015,3417,38740.65,38725.84,-14.81,22.5378,10.9563,11.5815,0
87,1651297721,1651298021,1651298321,3418,38725.84,38706.78,-19.06,22.9377,11.3814,11.5563,0
88,1651298027,1651298327,1651298627,3419,38706.78,38717.01,10.23,20.8191,10.4264,10.3927,1
89,1651298336,1651298636,1651298936,3420,38717.01,38681.5,-35.51,22.1297,11.0042,11.1255,0
90,1651298643,1651298943,1651299243,3421,38681.5,38683.31,1.81,22.2267,11.3351,10.8916,1
91,1651298949,1651299249,1651299549,3422,38683.31,38683.24,-0.07,22.6783,11.5974,11.0809,0
92,1651299255,1651299555,1651299855,3423,38683.24,38685.9,2.66,22.7674,11.1537,11.6137,1
93,1651299561,1651299861,1651300161,3424,38685.9,38664.85,-21.05,21.2237,10.6223,10.6014,0
94,1651299867,1651300167,1651300467,3425,38664.85,38691.32,26.47,20.9638,10.4819,10.4819,1
95,1651300173,1651300473,1651300773,3426,38691.32,38700.0,8.68,22.2179,10.9235,11.2945,1
96,1651300479,1651300779,1651301079,3427,38700.0,38714.28,14.28,20.856,10.3873,10.4686,1
97,1651300785,1651301085,1651301385,3428,38714.28,38700.48,-13.8,21.5551,10.6875,10.8675,0
98,1651301091,1651301391,1651301691,3429,38700.48,38668.09,-32.39,22.1816,10.9052,11.2763,0
99,1651301397,1651301697,1651301997,3430,38668.09,38706.1,38.01,21.9622,11.1611,10.8011,1
100,1651301703,1651302003,1651302303,3431,38706.1,38673.96,-32.14,22.4804,11.4202,11.0602,0
101,1651302009,1651302309,1651302609,3432,38673.96,38673.87,-0.09,21.3154,10.6628,10.6527,0
102,1651302315,1651302615,1651302915,3433,38673.87,38668.17,-5.7,22.3767,11.3684,11.0084,0
103,1651302621,1651302921,1651303221,3434,38668.17,38675.36,7.19,20.7813,10.3907,10.3907,1
104,1651302927,1651303227,1651303527,3435,38675.36,38692.86,17.5,21.312,10.656,10.656,1
105,1651303233,1651303533,1651303833,3436,38692.86,38671.64,-21.22,21.0087,10.5044,10.5044,0
106,1651303539,1651303839,1651304139,3437,38671.64,38697.68,26.04,21.538,10.799,10.739,1
107,1651303845,1651304145,1651304445,3438,38697.68,38729.99,32.31,22.0677,11.2138,10.8538,1
108,1651304151,1651304451,1651304751,3439,38729.99,38694.29,-35.7,21.429,10.7145,10.7145,0
109,1651304456,1651304756,1651305056,3440,38694.29,38644.91,-49.38,22.6679,11.6225,11.0454,0
110,1651304762,1651305062,1651305362,3441,38644.91,38645.31,0.4,21.398,10.6113,10.7867,1
111,1651305068,1651305368,1651305668,3442,38645.31,38634.4,-10.91,20.8571,10.4175,10.4396,0
112,1651305374,1651305674,1651305974,3443,38634.4,38657.29,22.89,21.6887,11.1714,10.5173,1
113,1651305680,1651305980,1651306280,3444,38657.29,38668.5,11.21,21.4211,10.7306,10.6905,1
114,1651305986,1651306286,1651306586,3445,38668.5,38678.51,10.01,21.01,10.6213,10.3887,1
115,1651306292,1651306592,1651306892,3446,38678.51,38633.7,-44.81,21.0205,10.5153,10.5053,0
116,1651306595,1651306895,1651307195,3447,38633.7,38604.35,-29.35,20.8152,10.4126,10.4026,0
117,1651306901,1651307201,1651307501,3448,38604.35,38590.2,-14.15,20.6933,10.3517,10.3417,0
118,1651307207,1651307507,1651307807,3449,38590.2,38579.64,-10.56,21.3833,10.7917,10.5917,0
119,1651307514,1651307814,1651308114,3450,38579.64,38606.65,27.01,21.7335,11.292,10.4414,1
120,1651307820,1651308120,1651308420,3451,38606.65,38600.0,-6.65,20.6957,10.3479,10.3479,0
121,1651308126,1651308426,1651308726,3452,38600.0,38574.71,-25.29,22.4878,11.0639,11.4239,0
122,1651308432,1651308732,1651309032,3453,38574.71,38624.99,50.28,22.6317,11.0362,11.5954,1
123,1651308738,1651309038,1651309338,3454,38624.99,38573.07,-51.92,21.2735,10.4342,10.8393,0
124,1651309044,1651309344,1651309644,3455,38573.07,38611.87,38.8,22.1356,10.8878,11.2478,1
125,1651309350,1651309650,1651309950,3456,38611.87,38616.4,4.53,21.0473,10.514,10.5333,1
126,1651309656,1651309956,1651310256,3457,38616.4,38610.01,-6.39,21.4252,10.7257,10.6996,0
127,1651309962,1651310262,1651310562,3458,38610.01,38583.87,-26.14,21.3962,10.6981,10.6981,0
128,1651310268,1651310568,1651310868,3459,38583.87,38621.12,37.25,21.9986,11.3893,10.6093,1
129,1651310574,1651310874,1651311174,3460,38621.12,38593.38,-27.74,20.7801,10.3901,10.3901,0
130,1651310880,1651311180,1651311480,3461,38593.38,38604.33,10.95,22.028,11.1983,10.8298,1
131,1651311186,1651311486,1651311786,3462,38604.33,38557.86,-46.47,21.1207,10.5604,10.5604,0
132,1651311492,1651311792,1651312092,3463,38557.86,38569.33,11.47,21.5418,10.76,10.7819,1
133,1651311798,1651312098,1651312398,3464,38569.33,38591.92,22.59,21.1842,10.5974,10.5868,1
134,1651312104,1651312404,1651312704,3465,38591.92,38626.94,35.02,21.3962,10.7097,10.6865,1
135,1651312410,1651312710,1651313010,3466,38626.94,38624.82,-2.12,22.622,11.131,11.491,0
136,1651312716,1651313016,1651313316,3467,38624.82,38614.47,-10.35,21.2791,10.8147,10.4644,0
137,1651313022,1651313322,1651313622,3468,38614.47,38597.2,-17.27,22.0129,10.7802,11.2327,0
138,1651313328,1651313628,1651313928,3469,38597.2,38589.41,-7.79,21.3074,10.7917,10.5157,0
139,1651313634,1651313934,1651314234,3470,38589.41,38591.06,1.65,20.9691,10.4845,10.4845,1
140,1651313940,1651314240,1651314540,3471,38591.06,38599.1,8.04,20.9054,10.4188,10.4866,1
141,1651314245,1651314545,1651314845,3472,38599.1,38646.96,47.86,22.3057,11.4132,10.8925,1
142,1651314551,1651314851,1651315151,3473,38646.96,38604.15,-42.81,20.8119,10.39,10.4219,0
143,1651314857,1651315157,1651315457,3474,38604.15,38622.9,18.75,22.2679,10.9539,11.3139,1
144,1651315163,1651315463,1651315763,3475,38622.9,38618.14,-4.76,20.9488,10.4744,10.4744,0
145,1651315472,1651315772,1651316072,3476,38618.14,38572.82,-45.32,21.7511,10.9993,10.7518,0
146,1651315778,1651316078,1651316378,3477,38572.82,38566.49,-6.33,23.2776,12.1045,11.1732,0
147,1651316084,1651316384,1651316684,3478,38566.49,38580.46,13.97,21.796,10.9181,10.8779,1
148,1651316390,1651316690,1651316990,3479,38580.46,38606.8,26.34,23.4488,12.2555,11.1933,1
149,1651316696,1651316996,1651317296,3480,38606.8,38600.57,-6.23,21.8043,11.066,10.7383,0
150,1651317002,1651317302,1651317602,3481,38600.57,38601.98,1.41,22.1563,11.0637,11.0926,1
151,1651317308,1651317608,1651317908,3482,38601.98,38612.43,10.45,23.3972,11.7516,11.6455,1
152,1651317614,1651317914,1651318214,3483,38612.43,38619.23,6.8,21.4068,10.6327,10.7741,1
153,1651317920,1651318220,1651318520,3484,38619.23,38633.48,14.25,22.3089,10.9745,11.3345,1
154,1651318225,1651318525,1651318825,3485,38633.48,38576.28,-57.2,21.9367,11.0041,10.9327,0
155,1651318530,1651318830,1651319130,3486,38576.28,38589.82,13.54,21.5419,10.9932,10.5487,1
156,1651318835,1651319135,1651319435,3487,38589.82,38582.25,-7.57,23.1763,11.8103,11.366,0
157,1651319141,1651319441,1651319741,3488,38582.25,38596.11,13.86,21.3199,10.9717,10.3481,1
158,1651319447,1651319747,1651320047,3489,38596.11,38587.72,-8.39,21.3973,10.8236,10.5736,0
159,1651319753,1651320053,1651320353,3490,38587.72,38604.13,16.41,21.9809,11.283,10.6979,1
160,1651320059,1651320359,1651320659,3491,38604.13,38579.93,-24.2,21.2076,10.7038,10.5038,0
161,1651320365,1651320665,1651320965,3492,38579.93,38574.96,-4.97,21.32,10.7178,10.6023,0
162,1651320671,1651320971,1651321271,3493,38574.96,38565.63,-9.33,21.6536,10.9768,10.6768,0
163,1651320976,1651321276,1651321576,3494,38565.63,38585.44,19.81,21.5631,10.8571,10.706,1
164,1651321282,1651321582,1651321882,3495,38585.44,38604.62,19.18,20.953,10.4845,10.4685,1
165,1651321588,1651321888,1651322188,3496,38604.62,38562.02,-42.6,21.2856,10.5928,10.6928,0
166,1651321894,1651322194,1651322494,3497,38562.02,38551.49,-10.53,20.9466,10.5876,10.3589,0
167,1651322200,1651322500,1651322800,3498,38551.49,38557.31,5.82,21.1966,10.7233,10.4733,1
168,1651322508,1651322808,1651323108,3499,38557.31,38554.37,-2.94,21.2731,10.7153,10.5578,0
169,1651322814,1651323114,1651323414,3500,38554.37,38546.42,-7.95,21.3567,10.6948,10.6619,0
170,1651323120,1651323420,1651323720,3501,38546.42,38546.43,0.01,21.4948,10.8574,10.6374,1
171,1651323426,1651323726,1651324026,3502,38546.43,38578.27,31.84,21.6425,11.0171,10.6254,1
172,1651323732,1651324032,1651324332,3503,38578.27,38570.88,-7.39,21.2355,10.6024,10.6332,0
173,1651324038,1651324338,1651324638,3504,38570.88,38603.96,33.08,21.1836,10.5918,10.5918,1
174,1651324344,1651324644,1651324944,3505,38603.96,38627.16,23.2,21.1765,10.6001,10.5764,1
175,1651324650,1651324950,1651325250,3506,38627.16,38617.47,-9.69,21.1644,10.5486,10.6158,0
176,1651324956,1651325256,1651325556,3507,38617.47,38608.38,-9.09,20.838,10.3835,10.4545,0
177,1651325262,1651325562,1651325862,3508,38608.38,38557.96,-50.42,21.3587,10.7131,10.6456,0
178,1651325568,1651325868,1651326168,3509,38557.96,38512.54,-45.42,20.8295,10.3898,10.4398,0
179,1651325875,1651326175,1651326475,3510,38512.54,38530.94,18.4,21.0146,10.4919,10.5227,1
180,1651326181,1651326481,1651326781,3511,38530.94,38516.23,-14.71,21.5892,10.9435,10.6457,0
181,1651326487,1651326787,1651327087,3512,38516.23,38508.39,-7.84,21.053,10.5265,10.5265,0
182,1651326793,1651327093,1651327393,3513,38508.39,38445.76,-62.63,21.4366,10.7307,10.7059,0
183,1651327099,1651327399,1651327699,3514,38445.76,38574.0,128.24,20.9478,10.4684,10.4794,1
184,1651327405,1651327705,1651328005,3515,38574.0,38533.85,-40.15,21.3754,10.6877,10.6877,0
185,1651327712,1651328012,1651328312,3516,38533.85,38460.01,-73.84,21.2803,10.6402,10.6402,0
186,1651328018,1651328318,1651328618,3517,38460.01,38396.15,-63.86,21.7011,10.9505,10.7505,0
187,1651328324,1651328624,1651328924,3518,38396.15,38415.8,19.65,21.5783,10.9271,10.6512,1
188,1651328630,1651328930,1651329230,3519,38415.8,38400.01,-15.79,21.6895,10.9448,10.7448,0
189,1651328936,1651329236,1651329536,3520,38400.01,38360.88,-39.13,21.5077,10.7539,10.7539,0
190,1651329242,1651329542,1651329842,3521,38360.88,38369.7,8.82,21.3198,10.6099,10.7099,1
191,1651329548,1651329848,1651330148,3522,38369.7,38335.58,-34.12,21.8902,11.2035,10.6867,0
192,1651329859,1651330159,1651330459,3523,38335.58,38314.17,-21.41,21.3713,10.9668,10.4045,0
193,1651330167,1651330467,1651330767,3524,38314.17,38233.73,-80.44,21.6893,11.2498,10.4395,0
194,1651330473,1651330773,1651331073,3525,38233.73,38200.07,-33.66,21.8719,11.336,10.536,0
195,1651330777,1651331077,1651331377,3526,38200.07,38355.78,155.71,21.4433,10.7217,10.7217,1
196,1651331083,1651331383,1651331683,3527,38355.78,38390.01,34.23,21.0675,10.6338,10.4338,1
197,1651331389,1651331689,1651331989,3528,38390.01,38345.42,-44.59,20.8902,10.4502,10.44,0
